name,label,group,n_used,verdict,p_structure,p_boot,dim2,atom,z_cyc3,z_cyc7,z_cyc8,z_cyc12,z_hash,acf,pe,fft,quantized,uniq_ratio,source,note
iaaft_henon_x,Noise,surrogate,10000,Noise,0.0033222591362126247,0.46,nan,0.9831334501190315,8.902380407464571,10.48155556806339,22.48404948997876,5.3514296701900115,1.6140398185292666,0.3669870204238429,0.975885076462337,0.012088240132144403,False,1.0,synthetic,
iaaft_lorenz_x,Noise,surrogate,10000,Noise,0.0033222591362126247,0.76,1.6918521462370237,0.570141945916809,180.87880521156217,248.46225214650514,718.619358578941,178.27247991741618,6.89082177339608,0.7670447065337084,0.6978498306262332,0.02348118655921417,False,1.0,synthetic,
shuffle_lorenz_x,Noise,surrogate,10000,Noise,0.6079734219269103,,nan,1.0012594458438289,0.33014512257635126,-0.23672794863566954,0.7131439264897683,-0.06430376578355894,1.6042926494522742,0.03147978203293563,0.99881929636791,0.004547330163759263,False,1.0,synthetic,
eeg_setA_00,unknown,eeg,4097,Noise,0.0033222591362126247,0.83,nan,0.7962459194776932,54.95924563082028,83.25200588468999,84.89952423384666,53.20866918973262,2.693050711670368,0.31578075409332207,0.8420664652310633,0.051412646999743766,True,0.060288015621186235,Bonn setA Z001.txt,healthy_eyes_open
eeg_setA_01,unknown,eeg,4097,Noise,0.0033222591362126247,0.54,nan,0.8460137162451778,54.296916687920046,82.30483090356516,84.39034317445076,51.73470432430718,1.254201249490611,0.365591622525547,0.8553717914013071,0.033155670775950205,True,0.0710275811569441,Bonn setA Z002.txt,healthy_eyes_open
eeg_setA_02,unknown,eeg,4097,Noise,0.0033222591362126247,0.08,nan,0.8128817918765405,53.44330064606149,81.6830929541051,82.74042785240898,51.83834937798783,1.7672855955826834,0.3280011454694389,0.8641451937802421,0.05738284305765831,True,0.06785452770319746,Bonn setA Z003.txt,healthy_eyes_open
eeg_setA_03,unknown,eeg,4097,Noise,0.0033222591362126247,0.42,nan,0.8846524579629431,26.900716322080566,38.75994639117595,42.05334818192048,25.425577177973825,0.9820929069652489,0.32204207075879226,0.9396436316415062,0.034868714152778826,True,0.0671222845984867,Bonn setA Z004.txt,healthy_eyes_open
eeg_setA_04,unknown,eeg,4097,Noise,0.0033222591362126247,0.32,nan,0.817159539384765,40.85690912715647,61.38662110166423,65.8326979283991,39.326270339789055,2.1426966485945327,0.2896270494377157,0.9188683334774743,0.05845327574894989,True,0.06541371735416159,Bonn setA Z005.txt,healthy_eyes_open
eeg_setA_05,unknown,eeg,4097,Noise,0.0033222591362126247,0.65,nan,0.8246335262616974,53.851123178166546,79.03870986893237,78.69464824730223,49.53956519859801,1.2084797056389753,0.31190632943608254,0.8483994488535367,0.042522152466678065,True,0.06419331217964364,Bonn setA Z006.txt,healthy_eyes_open
eeg_setA_06,unknown,eeg,4097,Noise,0.0033222591362126247,0.4,nan,0.8629864545259084,49.07003302816992,75.44776087315832,78.0094008892291,46.52008923957525,0.10013953823432037,0.41209070924543,0.8368372189717065,0.029951362294331506,True,0.06663412252867952,Bonn setA Z007.txt,healthy_eyes_open
